lon,lat,ave_ppt_mm
-91.552,31.669,0.26125
-91.543,31.703,0.25
-91.551,31.524,0.36000000000000004
-91.541,31.558,0.3595833333333333
-91.531,31.592,0.37041666666666667
-91.522,31.626,0.38625
-91.512,31.660,0.31875
-91.503,31.694,0.35541666666666666
-91.549,31.380,0.32875
-91.539,31.414,0.34958333333333336
-91.530,31.448,0.33874999999999994
-91.520,31.482,0.365
-91.511,31.516,0.3812499999999999
-91.501,31.550,0.4070833333333333
-91.491,31.584,0.605
-91.482,31.618,0.44333333333333336
-91.472,31.652,0.40208333333333335
-91.463,31.686,0.4533333333333333
-91.547,31.237,0.19291666666666665
-91.538,31.270,0.20416666666666664
-91.528,31.304,0.22999999999999998
-91.519,31.338,0.21958333333333332
-91.509,31.372,0.3283333333333333
-91.499,31.406,0.3445833333333333
-91.490,31.440,0.3604166666666666
-91.480,31.474,0.5475
-91.471,31.508,0.5633333333333334
-91.461,31.542,0.735
-91.452,31.576,0.6204166666666667
-91.442,31.610,0.6466666666666666
-91.432,31.644,0.5991666666666666
-91.423,31.678,0.63625
-91.555,31.059,0.14083333333333334
-91.545,31.093,0.14125
-91.536,31.127,0.13083333333333333
-91.526,31.161,0.13583333333333333
-91.517,31.195,0.14125
-91.507,31.228,0.15166666666666664
-91.498,31.262,0.18291666666666664
-91.488,31.296,0.18291666666666664
-91.479,31.330,0.20916666666666664
-91.469,31.364,0.20916666666666664
-91.460,31.398,0.32375
-91.450,31.432,0.5220833333333333
-91.441,31.466,0.5475
-91.431,31.500,0.5633333333333334
-91.421,31.534,0.7408333333333333
-91.412,31.568,0.6154166666666666
-91.402,31.602,0.5895833333333332
-91.392,31.636,0.6366666666666666
-91.383,31.670,0.6779166666666666
-91.553,30.916,0.06833333333333334
-91.544,30.950,0.08374999999999999
-91.534,30.983,0.10458333333333332
-91.525,31.017,0.11499999999999999
-91.515,31.051,0.12541666666666665
-91.506,31.085,0.13625
-91.496,31.119,0.13083333333333333
-91.487,31.153,0.13041666666666665
-91.477,31.186,0.15166666666666664
-91.468,31.220,0.1725
-91.458,31.254,0.16708333333333333
-91.449,31.288,0.17791666666666664
-91.439,31.322,0.19374999999999998
-91.430,31.356,0.21916666666666665
-91.420,31.390,0.24
-91.410,31.424,0.5320833333333334
-91.401,31.458,0.5583333333333333
-91.391,31.492,0.5891666666666667
-91.381,31.526,0.6054166666666666
-91.372,31.560,0.7716666666666666
-91.362,31.594,0.6149999999999999
